event_name,date,latitude,longitude,rainfall_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,elevation_m,river_discharge_m3s,flood_occurred,month,year,rainfall_category,season,humidity_risk,low_elevation,high_discharge,log_rainfall_mm,log_river_discharge_m3s,log_elevation_m,rain_humidity_index,precip_efficiency,temp_range_c,flood_risk_score
Kerala_Flood_2018,2018-08-15,9.5,76.5,126.4,23.9,22.8,100,27.1,24.0,0.63,0.0,15.37,1,8,2018,4,2,3,1,0,4.847331743138063,2.7954503913830435,0.0,126.4,5.266666666666667,1.0999999999999979,0.6721
Kerala_Flood_2018,2018-08-16,9.5,76.5,83.4,25.7,22.6,100,20.4,24.0,1.22,0.0,17.11,1,8,2018,4,2,3,1,0,4.4355674016019115,2.896464271895322,0.0,83.4,3.475,3.099999999999998,0.6306
Kerala_Flood_2018,2018-08-17,9.5,76.5,51.4,25.9,22.6,100,19.9,24.0,1.8,0.0,15.75,1,8,2018,3,2,3,1,0,3.9589065913269965,2.8183982582710754,0.0,51.4,2.1416666666666666,3.299999999999997,0.5997
Kerala_Flood_2018,2018-08-18,9.5,76.5,51.1,26.2,23.0,100,19.7,24.0,1.96,0.0,14.45,1,8,2018,3,2,3,1,0,3.9531649487593215,2.7376090033437546,0.0,51.1,2.129166666666667,3.1999999999999993,0.5994
Kerala_Flood_2018,2018-08-19,9.5,76.5,37.1,26.5,23.0,100,20.4,24.0,2.3,0.0,13.39,1,8,2018,3,2,3,1,0,3.6402142821326553,2.6665335208992764,0.0,37.1,1.5458333333333334,3.5,0.5859
Kerala_Flood_2018,2018-08-20,9.5,76.5,11.2,28.6,23.0,100,17.7,19.0,3.01,0.0,12.43,1,8,2018,2,2,3,1,0,2.501435951739211,2.5974910105351463,0.0,11.2,0.5894736842105263,5.600000000000001,0.5192
Kerala_Flood_2019,2019-08-08,9.55,76.52,65.4,25.4,23.2,100,16.5,24.0,1.09,2.0,27.91,1,8,2019,3,2,3,1,0,4.1956970564823886,3.364187556028255,1.0986122886681096,65.4,2.725,2.1999999999999993,0.6132
Kerala_Flood_2019,2019-08-09,9.55,76.52,52.7,26.2,23.2,100,13.1,23.0,1.34,2.0,30.33,1,8,2019,3,2,3,1,0,3.983413001514819,3.4445761049641,1.0986122886681096,52.7,2.2913043478260873,3.0,0.5926
Kerala_Flood_2019,2019-08-10,9.55,76.52,51.1,25.4,22.5,100,12.5,24.0,1.02,2.0,28.85,1,8,2019,3,2,3,1,0,3.9531649487593215,3.396184839838611,1.0986122886681096,51.1,2.129166666666667,2.8999999999999986,0.5994
Kerala_Flood_2019,2019-08-11,9.55,76.52,19.3,28.4,22.9,100,18.2,19.0,2.84,2.0,25.98,1,8,2019,2,2,3,1,0,3.0106208860477417,3.2950958507796098,1.0986122886681096,19.3,1.0157894736842106,5.5,0.527
Kerala_Flood_2019,2019-08-12,9.55,76.52,29.4,26.3,22.6,100,15.6,24.0,1.68,2.0,27.77,1,8,2019,3,2,3,1,0,3.414442608412176,3.3593331775634567,1.0986122886681096,29.4,1.2249999999999999,3.6999999999999993,0.5784
Patna_Bihar_2019,2019-09-28,25.59,85.14,103.9,25.5,23.3,98,19.1,24.0,0.91,55.0,21.59,1,9,2019,4,2,3,1,0,4.653007515402251,3.1175073304799117,4.02535169073515,101.822,4.329166666666667,2.1999999999999993,0.6445
Patna_Bihar_2019,2019-09-29,25.59,85.14,81.6,25.2,23.0,98,19.1,24.0,0.7,55.0,33.83,1,9,2019,4,2,3,1,0,4.414009680526933,3.5504790843779097,4.02535169073515,79.96799999999999,3.4,2.1999999999999993,0.623
Patna_Bihar_2019,2019-09-30,25.59,85.14,6.0,27.4,23.4,99,14.8,13.0,1.97,55.0,25.79,1,9,2019,2,2,3,1,0,1.9459101490553132,3.2880286835565173,4.02535169073515,5.94,0.46153846153846156,4.0,0.4604
Patna_Bihar_2019,2019-10-01,25.59,85.14,1.0,29.0,23.4,97,8.3,10.0,3.06,55.0,18.95,1,10,2019,1,3,3,1,0,0.6931471805599453,2.9932291433358724,4.02535169073515,0.97,0.1,5.600000000000001,0.4264
Patna_Bihar_2019,2019-10-02,25.59,85.14,0.2,30.5,23.7,95,9.9,2.0,3.48,55.0,15.98,1,10,2019,1,3,3,1,0,0.18232155679395462,2.8320361808832013,4.02535169073515,0.19,0.1,6.800000000000001,0.3547
Patna_Bihar_2023,2023-09-01,25.61,85.13,0.3,34.5,26.9,91,16.6,1.0,4.75,54.0,24489.63,1,9,2023,1,2,3,1,1,0.26236426446749106,10.106045874400964,4.007333185232471,0.273,0.3,7.600000000000001,0.4039
